                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.6468,                 1.3809,                 1.7364,                0.66466,                0.73472,                0.73058,                0.34616,                 1.9413,                 1.1734,                 1.9697,              0.0061298,              0.0061298,              0.0061298
                     45,                 1.6305,                 1.3638,                 1.7307,                0.75399,                 0.7456,                0.77052,                0.37077,                 1.8495,                 1.1221,                 1.9343,              0.0059775,              0.0059775,              0.0059775
                     46,                 1.6342,                 1.3647,                 1.7331,                0.66459,                0.78434,                0.75551,                0.36311,                 1.8895,                 1.1477,                 1.9408,              0.0058244,              0.0058244,              0.0058244
                     47,                   1.63,                 1.3601,                 1.7285,                0.70015,                0.77426,                0.75393,                0.36938,                 1.8735,                 1.1257,                  1.936,              0.0056704,              0.0056704,              0.0056704
                     48,                 1.6305,                 1.3325,                  1.729,                  0.719,                 0.7669,                0.74772,                0.36262,                 1.8747,                 1.1428,                 1.9214,              0.0055158,              0.0055158,              0.0055158
                     49,                 1.6252,                 1.3462,                   1.72,                0.78018,                0.74832,                0.77124,                0.37056,                 1.8391,                 1.1317,                 1.9241,              0.0053608,              0.0053608,              0.0053608
                     50,                 1.6213,                 1.3334,                 1.7268,                0.66835,                0.79478,                0.76641,                0.37333,                    1.9,                 1.1287,                 1.9428,              0.0052055,              0.0052055,              0.0052055
                     51,                 1.6103,                 1.3252,                 1.7186,                0.73379,                0.71066,                0.77029,                0.36263,                 1.9113,                 1.1124,                 1.9461,                0.00505,                0.00505,                0.00505
                     52,                 1.6173,                  1.322,                 1.7204,                0.68987,                0.78229,                0.75947,                0.37559,                 1.8522,                 1.0877,                  1.904,              0.0048945,              0.0048945,              0.0048945
                     53,                 1.6111,                  1.324,                 1.7202,                0.70097,                 0.7984,                0.76337,                0.37714,                  1.861,                 1.0981,                 1.9256,              0.0047392,              0.0047392,              0.0047392
                     54,                  1.603,                 1.3127,                 1.7089,                0.70481,                0.78541,                0.77598,                0.38161,                 1.8572,                 1.0743,                 1.9069,              0.0045842,              0.0045842,              0.0045842
                     55,                 1.6074,                 1.3213,                 1.7115,                0.71423,                0.77288,                0.77425,                0.38428,                  1.863,                  1.106,                 1.9295,              0.0044296,              0.0044296,              0.0044296
                     56,                 1.5905,                 1.2913,                 1.7051,                0.70061,                0.78338,                0.77229,                0.38299,                 1.8665,                 1.1058,                 1.9486,              0.0042756,              0.0042756,              0.0042756
                     57,                 1.5885,                 1.2938,                 1.7009,                0.63652,                0.81249,                0.75337,                0.36867,                   1.88,                 1.0719,                 1.9276,              0.0041225,              0.0041225,              0.0041225
                     58,                  1.577,                 1.2735,                 1.6924,                0.71491,                 0.7818,                0.76891,                0.38126,                 1.8642,                 1.0696,                 1.9181,              0.0039702,              0.0039702,              0.0039702
                     59,                 1.5842,                  1.284,                 1.6945,                0.71331,                0.78477,                0.76127,                0.37309,                 1.8415,                 1.0761,                  1.893,               0.003819,               0.003819,               0.003819
                     60,                 1.5812,                 1.2731,                 1.6959,                0.72786,                0.78528,                0.77133,                0.38311,                 1.8688,                 1.0662,                 1.9207,               0.003669,               0.003669,               0.003669
                     61,                 1.5692,                 1.2499,                 1.6833,                 0.7272,                0.78666,                0.78026,                0.38254,                 1.8979,                 1.0726,                 1.9433,              0.0035204,              0.0035204,              0.0035204
                     62,                   1.57,                 1.2523,                 1.6804,                0.69825,                0.77963,                0.76648,                0.37702,                 1.8836,                 1.0603,                 1.9309,              0.0033732,              0.0033732,              0.0033732
